Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount,Dominant Event,Cumsum,EXP
184,-0.009259259,0.05555556,0.1388889,32,1058,8126,0.05555556,-0.6203703899999997,0.8785807327719686
185,-0.009259259,0.0462963,0.14814815,15,1090,8111,0.0462963,-0.5740740899999999,0.8873108774890133
186,-0.009259259,0.0462963,0.16666666,8,1124,8084,0.0462963,-0.52777779,0.8960932046295027
187,-0.009259259,0.0462963,0.17592594,27,1072,8117,0.0462963,-0.4814814900000002,0.904928026101819
188,-0.009259259,0.0462963,0.16666667,51,1016,8149,0.0462963,-0.43518519000000033,0.913815655678705
189,-0.018518519,0.0462963,0.16666666,76,1061,8079,0.0462963,-0.3888888900000005,0.9227564090084074
190,-0.009259259,0.037037037,0.16666667,80,1072,8064,0.037037037,-0.3518518530000003,0.9299474735101441
191,-0.009259259,0.037037037,0.15740742,50,1135,8031,0.037037037,-0.31481481600000016,0.9371729038460095
192,-0.009259259,0.037037037,0.1574074,111,1054,8051,0.037037037,-0.277777779,0.9444328642490675
193,-0.009259259,0.037037037,0.15740742,97,1170,7949,0.037037037,-0.24074074199999984,0.9517275197372455
194,-0.018518519,0.027777778,0.17592594,123,1215,7878,0.027777778,-0.21296296399999992,0.9572213797657639
195,-0.018518519,0.027777778,0.17592594,86,1443,7687,0.027777778,-0.185185186,0.9627349192719089
196,-0.027777778,0.027777778,0.19444445,118,1572,7526,0.027777778,-0.15740740800000008,0.9682682087492561
197,-0.018518519,0.027777778,0.16666667,103,1790,7323,0.027777778,-0.12962963000000016,0.9738213189438959
198,-0.018518519,0.018518519,0.1574074,84,1899,7233,0.018518519,-0.11111111100000048,0.9775344390345415
199,-0.018518519,0.018518519,0.18518516,119,2187,6910,0.018518519,-0.0925925920000008,0.9812564209829467
200,-0.018518519,0.018518519,0.17592594,141,2381,6694,0.018518519,-0.07407407300000113,0.9849872859391205
201,-0.018518519,0.018518519,0.17592594,185,2581,6450,0.018518519,-0.05555555400000145,0.9887270551035491
202,-0.018518519,0.009259259,0.19444445,264,2833,6119,0.009259259,-0.04629629500000121,0.9906002853016282
203,-0.018518519,0.009259259,0.1851852,285,3073,5858,0.009259259,-0.03703703600000097,0.9924757495246459
204,-0.018518519,0.009259259,0.17592591,284,3346,5586,0.009259259,-0.027777777000000725,0.9943534504369125
205,-0.018518519,0.009259259,0.14814815,325,3554,5337,0.009259259,-0.018518518000000483,0.9962333907059165
206,-0.018518519,0.009259259,0.1574074,499,3828,4889,0.009259259,-0.009259259000000242,0.9981155730023276
207,-0.018518519,0.009259259,0.16666667,657,4312,4247,0.009259259,0.0,1.0
208,-0.027777778,0.0,0.16666667,737,4553,3926,0.0,0.0,1.0
209,-0.027777778,0.0,0.1388889,853,4750,3613,0.0,0.0,1.0
210,-0.027777778,0.0,0.12037039,993,4998,3225,0.0,0.0,1.0
211,-0.027777778,0.0,0.12037039,1090,5279,2847,0.0,0.0,1.0
212,-0.037037037,0.0,0.10185186,1322,5462,2432,0.0,0.0,1.0
213,-0.037037037,0.0,0.092592604,1663,5454,2099,0.0,0.0,1.0
214,-0.037037037,0.0,0.11111113,1936,5399,1881,0.0,0.0,1.0
215,-0.0462963,0.0,0.08333334,2329,5254,1633,0.0,0.0,1.0
216,-0.0462963,0.0,0.08333334,2439,5282,1495,0.0,0.0,1.0
217,-0.037037037,0.0,0.07407408,2792,5186,1238,0.0,0.0,1.0
218,-0.037037037,0.0,0.08333334,2999,5122,1095,0.0,0.0,1.0
219,-0.0462963,0.0,0.07407408,3235,5092,889,0.0,0.0,1.0
220,-0.0462963,0.0,0.06481482,3481,4972,763,0.0,0.0,1.0
221,-0.0462963,0.0,0.05555556,3726,4763,727,0.0,0.0,1.0
222,-0.0462963,0.0,0.07407408,4082,4514,620,0.0,0.0,1.0
223,-0.0462963,0.0,0.07407408,4236,4410,570,0.0,0.0,1.0
224,-0.0462963,-0.009259259,0.06481482,4379,4322,515,-0.009259259,-0.009259259000000242,0.9981155730023276
225,-0.05555556,-0.009259259,0.07407408,4680,4067,469,-0.009259259,-0.018518518000000483,0.9962333907059165
226,-0.0462963,-0.009259259,0.06481482,4905,3858,453,-0.009259259,-0.027777777000000725,0.9943534504369125
227,-0.0462963,-0.009259259,0.05555556,5121,3657,438,-0.009259259,-0.03703703600000097,0.9924757495246459
228,-0.05555556,-0.009259259,0.0462963,4992,3796,428,-0.009259259,-0.04629629500000121,0.9906002853016282
229,-0.05555556,-0.009259259,0.0462963,5148,3709,359,-0.009259259,-0.05555555400000145,0.9887270551035491
230,-0.05555556,-0.009259259,0.0462963,5306,3637,273,-0.009259259,-0.06481481300000169,0.9868560562692712
231,-0.05555556,-0.009259259,0.027777778,5659,3310,247,-0.009259259,-0.07407407200000193,0.9849872861408273
232,-0.06481482,-0.009259259,0.037037037,5883,3146,187,-0.009259259,-0.08333333100000218,0.9831207420634165
233,-0.07407408,-0.009259259,0.0462963,6130,2866,220,-0.009259259,-0.09259259000000242,0.9812564213853997
234,-0.06481482,-0.009259259,0.027777778,6150,2883,183,-0.009259259,-0.10185184900000266,0.9793943214582973
235,-0.06481482,-0.009259259,0.037037037,6185,2861,170,-0.009259259,-0.1111111080000029,0.9775344396367837
236,-0.07407408,-0.009259259,0.037037037,6500,2606,110,-0.009259259,-0.12037036700000314,0.9756767732786847
237,-0.08333334,-0.009259259,0.027777778,6590,2569,57,-0.009259259,-0.12962962600000338,0.9738213197449737
238,-0.07407408,-0.009259259,0.009259259,6811,2388,17,-0.009259259,-0.13888888500000363,0.971968076399767
239,-0.07407408,-0.018518519,0.018518519,6882,2318,16,-0.018518519,-0.1574074040000033,0.9682682095474746
240,-0.07407408,-0.018518519,0.018518519,6823,2375,18,-0.018518519,-0.17592592300000298,0.964577151897975
