Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount
327,-1.0,0.0,0.0,254,8962,0
328,-1.0,0.0,0.0,246,8970,0
329,-1.0,0.0,0.0,236,8980,0
330,-1.0,0.0,0.0,188,9028,0
331,-1.0,0.0,0.0,234,8982,0
332,-1.0,0.0,0.0,207,9009,0
333,-1.0,0.0,0.0,198,9018,0
334,-1.0,0.0,0.0,141,9075,0
335,-1.0,0.0,0.0,141,9075,0
336,-1.0,0.0,0.0,104,9112,0
337,-1.0,0.0,0.0,125,9091,0
338,-1.0,0.0,0.0,124,9092,0
339,-1.0,0.0,0.0,140,9076,0
340,-1.0,0.0,0.0,135,9081,0
341,-1.0,0.0,0.0,141,9075,0
342,-1.0,0.0,0.0,123,9093,0
343,-1.0,0.0,0.0,111,9105,0
344,-1.0,0.0,0.0,75,9141,0
345,-1.0,0.0,0.0,111,9105,0
346,-1.0,0.0,0.0,105,9111,0
347,-1.0,0.0,0.0,108,9108,0
348,-1.0,0.0,0.0,63,9153,0
349,-1.0,0.0,0.0,63,9153,0
350,-1.0,0.0,0.0,63,9153,0
351,-1.0,0.0,0.0,72,9144,0
352,-1.0,0.0,0.0,72,9144,0
353,-1.0,0.0,0.0,90,9126,0
354,-1.0,0.0,0.0,126,9090,0
355,-1.0,0.0,0.0,90,9126,0
356,-1.0,0.0,0.0,81,9135,0
357,-1.0,0.0,0.0,63,9153,0
358,-1.0,0.0,0.0,99,9117,0
359,-1.0,0.0,0.0,81,9135,0
360,-1.0,0.0,0.0,72,9144,0
361,-1.0,0.0,0.0,45,9171,0
362,-1.0,0.0,0.0,36,9180,0
363,-1.0,0.0,0.0,36,9180,0
364,-1.0,0.0,0.0,45,9171,0
365,-1.0,0.0,0.0,54,9162,0
366,-1.0,0.0,0.0,36,9180,0
367,-1.0,0.0,0.0,36,9180,0
368,-1.0,0.0,0.0,30,9186,0
369,-1.0,0.0,0.0,30,9186,0
370,-1.0,0.0,0.0,18,9198,0
371,-1.0,0.0,0.0,9,9207,0
372,-1.0,0.0,0.0,9,9207,0
373,-1.0,0.0,0.0,27,9189,0
374,-1.0,0.0,0.0,18,9198,0
375,-1.0,0.0,0.0,27,9189,0
376,-1.0,0.0,0.0,9,9207,0
377,-1.0,0.0,0.0,18,9198,0
378,-1.0,0.0,0.0,18,9198,0
379,-1.0,0.0,0.0,27,9189,0
380,-1.0,0.0,0.0,27,9189,0
381,-1.0,0.0,0.0,18,9198,0
382,-1.0,0.0,0.0,9,9207,0
383,0.0,0.0,0.0,0,9216,0
384,0.0,0.0,0.0,0,9216,0
385,-1.0,0.0,0.0,9,9207,0
386,-1.0,0.0,0.0,9,9207,0
387,-1.0,0.0,0.0,9,9207,0
388,-1.0,0.0,0.0,9,9207,0
389,-1.0,0.0,0.0,9,9207,0
390,-1.0,0.0,0.0,9,9207,0
391,0.0,0.0,0.0,0,9216,0
392,0.0,0.0,0.0,0,9216,0
393,0.0,0.0,0.0,0,9216,0
394,0.0,0.0,0.0,0,9216,0
395,0.0,0.0,0.0,0,9216,0
396,0.0,0.0,0.0,0,9216,0
397,0.0,0.0,0.0,0,9216,0
398,0.0,0.0,0.0,0,9216,0
